Rank,Name,Platform,Year,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
438,Final Fantasy XIII,PS3,2010,Square Enix  ,Square Enix  ,8.0,9.2,1.75,1.23,1.87,0.51,5.35
439,Xeno,Series,1998,Square  ,Square|Monolith Soft  ,,,,,,,
440,Gran Turismo 5 Prologue,PS3,2008,Sony Computer Entertainment  ,Polyphony Digital  ,8.3,,1.28,1.83,0.57,0.52,4.2
441,Dr. Mario,GB,1990,Nintendo  ,Nintendo R&D1  ,,,2.18,0.96,2.0,0.2,5.34
442,Assassin's Creed III,X360,2012,Ubisoft  ,Ubisoft Montreal  ,,,3.13,1.71,0.03,0.45,5.31
443,Pokémon Pinball,GBC,1999,Nintendo  ,Jupiter Corporation  ,8.7,,3.02,1.12,1.01,0.16,5.31
444,Assassin's Creed II,X360,2009,Ubisoft  ,Ubisoft Montreal  ,9.1,,3.14,1.55,0.08,0.52,5.3
445,The Forest,PC,2014,Endnight Games Ltd   ,Unknown  ,,,,,,,
446,The Forest,Series,2018,Endnight Games Ltd   ,Endnight Games Ltd  ,,,,,,,
447,Donkey Kong 64,N64,1999,Nintendo  ,Rare Ltd.  ,9.3,,3.33,0.79,1.09,0.06,5.27
448,Just Dance 2,Wii,2010,Ubisoft  ,Ubisoft Paris  ,7.3,,5.8,2.86,0.01,0.77,9.45
449,Tomb Raider II,PS,1997,Eidos Interactive  ,Core Design Ltd.  ,7.6,,2.3,2.46,0.2,0.28,5.24
450,Madden NFL 2004,PS2,2003,EA Sports  ,EA Tiburon  ,9.5,,4.26,0.26,0.01,0.71,5.23
451,Subnautica,Series,2018,Unknown Worlds Entertainment  ,Unknown Worlds Entertainment  ,,,,,,,
452,Call of Duty: Advanced Warfare,XOne,2014,Activision  ,Sledgehammer Games  ,8.3,,3.25,1.49,0.01,0.48,5.22
453,Fallout: New Vegas,PC,2010,Bethesda Softworks  ,Obsidian Entertainment  ,8.3,,0.59,0.45,,0.13,1.17
